id,query,ground_truth_citation,citation_accurate,format_adherence,rouge_l,generated_answer
syn_150_1768628866,"Tôi là một nhóm cổ đông của công ty ABC, và chúng tôi đã nhận được nghị quyết mà chúng tôi cho là không hợp lệ. Nếu chúng tôi muốn yêu cầu hủy bỏ nghị quyết, chúng tôi có cần phải lập công văn hay có hình thức nào khác không?",Điều 151 - Luật Doanh nghiệp 2020,True,1.0,0.6396917148362234,"**Căn cứ pháp lý:** 
Điều 151. Yêu cầu hủy bỏ nghị quyết Đại hội đồng cổ đông - Luật Doanh nghiệp 2020

**Nội dung quy định:**
Trong thời hạn 90 ngày kể từ ngày nhận được nghị quyết hoặc biên bản họp Đại hội đồng cổ đông hoặc biên bản kết quả kiểm phiếu lấy ý kiến Đại hội đồng cổ đông, cổ đông, nhóm cổ đông quy định tại khoản 2 Điều 115 của Luật này có quyền yêu cầu Tòa án hoặc Trọng tài xem xét, hủy bỏ nghị quyết hoặc một phần nội dung nghị quyết Đại hội đồng cổ đông trong các trường hợp sau đây: 

1. Trình tự, thủ tục triệu tập họp và ra quyết định của Đại hội đồng cổ đông vi phạm nghiêm trọng quy định của Luật này và Điều lệ công ty, trừ trường hợp quy định tại khoản 2 Điều 152 của Luật này;
2. Nội dung nghị quyết vi phạm pháp luật hoặc Điều lệ công ty.

**Phân tích & Hướng dẫn:**

Theo Điều 151 của Luật Doanh nghiệp 2020, nhóm cổ đông của công ty ABC có quyền yêu cầu Tòa án hoặc Trọng tài xem xét, hủy bỏ nghị quyết Đại hội đồng cổ đông nếu thấy rằng nghị quyết đó vi phạm quy định của Luật này hoặc Điều lệ công ty. 

Để thực hiện yêu cầu hủy bỏ nghị quyết, nhóm cổ đông không cần lập công văn đặc biệt. Theo quy định, nhóm cổ đông chỉ cần thực hiện các bước sau:

1. **Lập hồ sơ yêu cầu:** Nhóm cổ đông cần lập hồ sơ yêu cầu hủy bỏ nghị quyết, bao gồm các thông tin cần thiết như tên công ty, mã số doanh nghiệp, nội dung của nghị quyết bị质疑, lý do yêu cầu hủy bỏ và thời hạn yêu cầu.

2. **Gửi hồ sơ yêu cầu:** Hồ sơ yêu cầu này cần được gửi đến Tòa án hoặc Trọng tài theo quy định của pháp luật. 

3. **Giám sát tiến trình tố tụng:** Nhóm cổ đông cần theo dõi tiến trình tố tụng để đảm bảo rằng yêu cầu của mình được xem xét một cách công bằng và kịp thời.

Như vậy, nhóm cổ đông không cần lập công văn riêng mà chỉ cần gửi hồ sơ yêu cầu hủy bỏ nghị quyết tới Tòa án hoặc Trọng tài theo quy định của pháp luật"
syn_1421_1768641326_0,"Gia đình tôi đang bị đe dọa bởi một nhóm người đòi tiền chuộc, họ đã bắt cóc con tôi và yêu cầu chúng tôi phải trả 300 triệu đồng. Tôi nên làm gì để xử lý tình huống này?",Điều 169 - Bộ luật Hình sự (Văn bản hợp nhất 2017),False,0.0,0.41639871382636656,"**CĂN CỨ PHÁP LUẬT THAM KHẢO:**
---
[Tài liệu 1] ---
Văn bản: Bộ luật Hình sự (Văn bản hợp nhất 2017)
Nội dung: Điều 301. Tội bắt cóc con tin 1. Người nào bắt, giữ hoặc giam người khác làm con tin nhằm cưỡng ép một quốc gia, vùng lãnh thổ, tổ chức quốc tế hoặc cơ quan, tổ chức, cá nhân làm hoặc không làm một việc như một điều kiện để thả con tin, nếu không thuộc trường hợp quy định tại Điều 113 và Điều 299 của Bộ luật này, thì bị phạt tù từ 01 năm đến 04 năm. 2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 03 năm đến 07 năm: a) Có tổ chức; b) Lợi dụng chức vụ, quyền hạn; c) Đối với người dưới 18 tuổi, phụ nữ mà biết là có thai, người đủ 70 tuổi trở lên; d) Đối với người đang thi hành công vụ; đ) Gây hậu quả nghiêm trọng. 3. Phạm tội gây hậu quả rất nghiêm trọng, thì bị phạt tù từ 05 năm đến 10 năm. 4. Phạm tội gây hậu quả đặc biệt nghiêm trọng, thì bị phạt tù từ 08 năm đến 15 năm. 5. Người chuẩn bị phạm tội này, thì bị phạt tù từ 06 tháng đến 03 năm.

[Tài liệu 2] ---
Văn bản: Bộ luật Hình sự (Văn bản hợp nhất 2017)
Nội dung: Điều 325. Tội dụ dỗ, ép buộc hoặc chứa chấp người dưới 18 tuổi phạm pháp 1. Người nào đủ 18 tuổi trở lên mà thực hiện một trong các hành vi sau đây, thì bị phạt tù từ 01 năm đến 05 năm: a) Rủ rê, lôi kéo, mua chuộc, kích động hoặc xúi giục người dưới 18 tuổi phạm tội hoặc sống sa đọa; b) Đe dọa, uy hiếp, dùng vũ lực hoặc có hành vi khác ép buộc người dưới 18 tuổi phạm tội hoặc sống sa đọa; c) Chứa chấp người dưới"
syn_262_1768629823,"Gia đình tôi đã sống trên tàu cá trong một thời gian dài, nhưng chúng tôi vẫn chưa đăng ký nơi cư trú. Vậy liệu chúng tôi có bị ảnh hưởng gì không?",Điều 45 - Bộ luật Dân sự 2015,True,1.0,0.5625,"**Căn cứ pháp lý:**
- Văn bản: Bộ luật Dân sự 2015
- Nội dung: Điều 45. Nơi cư trú của người làm nghề lưu động

**Nội dung quy định:**
Điều 45 của Bộ luật Dân sự 2015 quy định rằng ""Nơi cư trú của người làm nghề lưu động trên tàu, thuyền, phương tiện hành nghề lưu động khác là nơi đăng ký tàu, thuyền, phương tiện đó, trừ trường hợp họ có nơi cư trú theo quy định tại khoản 1 Điều 40 của Bộ luật này.""

**Phân tích & Hướng dẫn:**
Theo quy định trên, nơi cư trú của người làm nghề lưu động là nơi đăng ký tàu, thuyền, phương tiện hành nghề lưu động của họ, ngoại trừ trường hợp họ có nơi cư trú theo quy định tại khoản 1 Điều 40 của Bộ luật Dân sự 2015.

Trong trường hợp của gia đình bạn, vì đã sống trên tàu cá trong một thời gian dài nhưng chưa đăng ký nơi cư trú, điều này không vi phạm quy định của Bộ luật Dân sự 2015. Điều này dựa trên nguyên tắc cho phép họ có thể có nơi cư trú là nơi đăng ký tàu, thuyền, phương tiện hành nghề lưu động.

Tuy nhiên, để tránh bất kỳ rủi ro nào trong tương lai, gia đình bạn nên tiến hành việc đăng ký nơi cư trú theo quy định tại khoản 1 Điều 40 của Bộ luật Dân sự 2015. Điều này sẽ đảm bảo rằng nơi cư trú của bạn được xác định rõ ràng và tuân thủ đầy đủ quy định pháp luật."
syn_1047_1768638814_0,"Tôi đã làm việc ở công ty A được 3 năm. Gần đây, tôi phát hiện rằng có một đồng nghiệp thường xuyên quấy rối tôi bằng những lời nói không phù hợp. Tôi cảm thấy rất khó chịu và không biết có thể làm gì để bảo vệ bản thân.",Điều 8 - Bộ luật Lao động 2019,True,1.0,0.39117929050814954,"**Căn cứ pháp lý:** [Điều 165][Tài liệu 3] - [Bộ luật Lao động 2019]

**Nội dung quy định:**
Theo Điều 165 của Bộ luật Lao động 2019, các hành vi bị nghiêm cấm đối với người sử dụng lao động bao gồm: ngược đãi, quấy rối tình dục, cưỡng bức lao động, dùng vũ lực đối với lao động là người giúp việc gia đình. Đồng thời, Mục 6 của điều này nêu rõ một số lao động khác, trong đó có người giúp việc gia đình.

**Phân tích & Hướng dẫn:**
Theo quy định trên, hành vi quấy rối tình dục tại nơi làm việc (theo Điều 8 của Bộ luật Lao động 2019) bao gồm việc có tính chất tình dục của bất kỳ người nào đối với người khác tại nơi làm việc mà không được người đó mong muốn hoặc chấp nhận. Đây là một hành vi vi phạm nghiêm trọng quyền riêng tư và sức khỏe tâm thần của người lao động.

Trong trường hợp của bạn, đồng nghiệp của bạn đang thực hiện hành vi quấy rối tình dục. Theo quy định của pháp luật, bạn có quyền yêu cầu người sử dụng lao động (công ty A) ngăn chặn và xử lý hành vi này. Bạn nên đưa ra thông tin về hành vi này cho người quản lý hoặc bộ phận nhân sự của công ty, và yêu cầu họ thực hiện các biện pháp cần thiết để bảo vệ quyền lợi của bạn.

Bạn cũng có thể liên hệ với tổ chức đại diện người lao động tại cơ sở (nếu có) để thảo luận về vấn đề này. Nếu công ty không đáp ứng yêu cầu của bạn, bạn có thể tiếp tục phản ánh vấn đề này lên cấp quản lý cao hơn hoặc tìm đến cơ quan nhà nước có thẩm quyền để được hỗ trợ và giải quyết.

Hơn nữa, bạn nên lưu trữ tất cả các bằng chứng liên quan đến hành vi quấy rối, như email, tin nhắn hoặc video nếu có thể, để hỗ trợ quá trình tố cáo."
syn_811_1768633563,"Tôi đã đánh một người vì họ cố gắng xâm hại đến tài sản của tôi, nhưng tôi đã dùng vũ lực quá mức. Liệu tôi có phải bồi thường không?",Điều 594 - Bộ luật Dân sự 2015,False,0.6666666666666666,0.3448275862068966,"**Căn cứ pháp lý:**
--- [Tài liệu 1] ---
Văn bản: Bộ luật Dân sự 2015
Nội dung: Điều 606. Bồi thường thiệt hại do xâm phạm thi thể 1. Cá nhân, pháp nhân xâm phạm thi thể phải bồi thường thiệt hại. 2. Thiệt hại do xâm phạm thi thể gồm chi phí hợp lý để hạn chế, khắc phục thiệt hại. 3. Người chịu trách nhiệm bồi thường khi thi thể bị xâm phạm phải bồi thường theo quy định tại khoản 2 Điều này và một khoản tiền khác để bù đắp tổn thất về tinh thần cho những người thân thích thuộc hàng thừa kế thứ nhất của người chết, nếu không có những người này thì người trực tiếp nuôi dưỡng người chết được hưởng khoản tiền này. Mức bồi thường bù đắp tổn thất về tinh thần do các bên thỏa thuận; nếu không thỏa thuận được thì mức tối đa đối với mỗi thi thể bị xâm phạm không quá ba mươi lần mức lương cơ sở do Nhà nước quy định.

---

**Phân tích & Hướng dẫn:**

Theo Điều 606 của Bộ Luật Dân sự 2015, cá nhân hoặc pháp nhân gây xâm phạm đến thi thể sẽ phải bồi thường thiệt hại. Tuy nhiên, điều này chỉ áp dụng cho trường hợp xâm phạm thi thể, không liên quan trực tiếp đến việc bạn đã sử dụng vũ lực quá mức trong việc ngăn chặn hành vi xâm phạm tài sản của mình.

Trong trường hợp bạn đã đánh người vì họ cố gắng xâm hại tài sản của bạn, dù bạn đã dùng vũ lực quá mức, thì chỉ có thể bị xử lý theo Điều 591 và Điều 590 của Bộ Luật Dân sự 2015, liên quan đến việc gây thương tích hoặc xâm phạm sức khỏe.

Điều 591 quy định rằng, ""Thất hại do tính mạng bị xâm phạm bao gồm: a) Thiệt hại do sức khỏe bị xâm phạm theo quy định tại Điều 590 của Bộ luật này; b) Chi phí hợp lý cho việc mai táng; c) Tiền cấp dưỡng cho những người mà người bị thiệt hại có nghĩa vụ cấp dưỡng; d) Thiệt hại khác do luật quy định."" Điều này cho thấy, nếu"
syn_1493_1768641901_1,"Công ty tôi vừa nhập khẩu một lô hàng thực vật và không biết rằng chúng thuộc diện kiểm dịch. Nếu lô hàng này gây ra dịch bệnh, tôi có thể phải chịu trách nhiệm pháp lý gì?",Điều 241 - Bộ luật Hình sự (Văn bản hợp nhất 2017),True,1.0,0.4364471669218989,"**Căn cứ pháp lý:** 
- Điều 241. Tội làm lây lan dịch bệnh nguy hiểm cho động vật, thực vật - Bộ luật Hình sự (Văn bản hợp nhất 2017)

**Nội dung quy định:** 
Điều 241 quy định về hình thức xử lý hành vi làm lây lan dịch bệnh nguy hiểm cho động vật, thực vật. Trong đó, hành vi này bao gồm cả việc không thực hiện các quy định về kiểm dịch khi đưa vào lãnh thổ Việt Nam động vật, thực vật, sản phẩm động vật, thực vật thuộc diện kiểm dịch. 

Hành vi này bị phạt tiền từ 50.000.000 đồng đến 200.000.000 đồng, phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 02 năm nếu gây thiệt hại về tài sản từ 100.000.000 đồng đến dưới 500.000.000 đồng hoặc đã bị xử phạt vi phạm hành chính về một trong những hành vi này mà còn vi phạm.

**Phân tích & Hướng dẫn:**
Theo quy định tại Điều 241, nếu công ty bạn đã nhập khẩu một lô hàng thực vật mà không thực hiện các quy định về kiểm dịch, dẫn đến lây lan dịch bệnh, công ty có thể phải chịu trách nhiệm pháp lý. 

Việc không thực hiện các quy định về kiểm dịch có thể coi là hành vi vi phạm quy định về kiểm dịch thực vật, gây ra hậu quả là lây lan dịch bệnh. Theo đó, công ty có thể bị phạt tiền từ 50.000.000 đồng đến 200.000.000 đồng hoặc phạt tù từ 06 tháng đến 02 năm tùy mức độ gây thiệt hại về tài sản.

Ngoài ra, công ty cũng có thể chịu trách nhiệm về việc khắc phục hậu quả do hành vi vi phạm của mình, như việc thực hiện các biện pháp cần thiết để ngăn chặn sự lây lan của dịch bệnh, nếu cần thiết.

Lưu ý rằng, nếu hậu quả gây ra bởi hành vi này vượt quá mức độ quy định tại Điều 241, công ty có thể phải chịu hình phạt nặng hơn, như phạt tù từ 03"
syn_557_1768631918,"Tôi là bên bảo lãnh cho một khoản vay, nhưng bên được bảo lãnh không trả nợ đúng hạn. Tôi có thể yêu cầu họ trả nợ cho tôi không?",Điều 340 - Bộ luật Dân sự 2015,False,0.3333333333333333,0.3430012610340479,"**CĂN CỨ PHÁP LUẬT THAM KHẢO:**
---
[Văn bản 1] Bộ luật Dân sự 2015
[Nội dung: Điều 342. Trách nhiệm dân sự của bên bảo lãnh]
---
[Văn bản 2] Bộ luật Dân sự 2015
[Nội dung: Điều 339. Quan hệ giữa bên bảo lãnh và bên nhận bảo lãnh]
---
[Văn bản 3] Bộ luật Dân sự 2015
[Nội dung: Điều 336. Phạm vi bảo lãnh]

**CĂN CỨ PHÁP LUẬT THAM KHẢO:**

---

**CÂU HỎI:**
Tôi là bên bảo lãnh cho một khoản vay, nhưng bên được bảo lãnh không trả nợ đúng hạn. Tôi có thể yêu cầu họ trả nợ cho tôi không?

---

**PHÂN TÍCH VÀ HƯỚNG DẪN:**

Theo quy định tại Điều 342 của Bộ Luật Dân sự 2015, nếu bên được bảo lãnh không thực hiện hoặc thực hiện không đúng nghĩa vụ, thì bên bảo lãnh có trách nhiệm thực hiện nghĩa vụ đó. Điều này chứng tỏ rằng bạn, bên bảo lãnh, có quyền yêu cầu bên được bảo lãnh phải thực hiện nghĩa vụ đã cam kết.

Tuy nhiên, cần chú ý đến quy định tại Điều 339 của cùng văn bản luật, quy định rằng bên nhận bảo lãnh không được yêu cầu bên bảo lãnh thực hiện nghĩa vụ thay cho bên được bảo lãnh khi nghĩa vụ chưa đến hạn. Đây có thể là lý do tại sao bạn chưa thể yêu cầu bên được bảo lãnh phải trả nợ ngay lập tức.

Mặt khác, theo Điều 336 của Bộ Luật Dân sự 2015, bên bảo lãnh không phải thực hiện nghĩa vụ bảo lãnh trong trường hợp bên nhận bảo lãnh có thể bù trừ nghĩa vụ với bên được bảo lãnh. Điều này cũng có thể hạn chế quyền của bạn trong việc yêu cầu bên được bảo lãnh trả nợ cho bạn.

Tóm lại, mặc dù bạn là bên bảo lãnh và có quyền yêu cầu bên được bảo lãnh thực hiện nghĩa vụ, nhưng do các quy định về thời gian và khả năng bù trừ nghĩa vụ, bạn không thể yêu cầu ngay lập tức bên được bảo lãnh trả nợ cho bạn mà chưa đến hạn"
syn_732_1768633029,Tôi đang quản lý một công ty và đã ký hợp đồng với một nhà cung cấp dịch vụ nhưng họ không cung cấp đầy đủ thông tin cần thiết để thực hiện công việc. Tôi phải làm gì?,Điều 515 - Bộ luật Dân sự 2015,False,0.0,0.3374689826302729,"**CĂN CỨ PHÁP LUẬT THAM KHẢO:**
--- [Tài liệu 1] ---
Văn bản: Bộ luật Dân sự 2015
Nội dung: Điều 443. Nghĩa vụ cung cấp thông tin và hướng dẫn cách sử dụng Bên bán có nghĩa vụ cung cấp cho bên mua thông tin cần thiết về tài sản mua bán và hướng dẫn cách sử dụng tài sản đó; nếu bên bán không thực hiện nghĩa vụ này thì bên mua có quyền yêu cầu bên bán phải thực hiện trong một thời hạn hợp lý; nếu bên bán vẫn không thực hiện làm cho bên mua không đạt được mục đích giao kết hợp đồng thì bên mua có quyền hủy bỏ hợp đồng và yêu cầu bồi thường thiệt hại.

--- [Tài liệu 2] ---
Văn bản: Luật Doanh nghiệp 2020
Nội dung: Điều 33. Cung cấp thông tin về nội dung đăng ký doanh nghiệp 1. Tổ chức, cá nhân có quyền đề nghị Cơ quan quản lý nhà nước về đăng ký kinh doanh và Cơ quan đăng ký kinh doanh cung cấp thông tin được lưu giữ trên Hệ thống thông tin quốc gia về đăng ký doanh nghiệp và phải nộp phí theo quy định của pháp luật. 2. Cơ quan quản lý nhà nước về đăng ký kinh doanh và Cơ quan đăng ký kinh doanh có nghĩa vụ cung cấp đầy đủ và kịp thời thông tin theo quy định tại khoản 1 Điều này. 3. Chính phủ quy định chi tiết Điều này.

--- [Tài liệu 3] ---
Văn bản: Luật Doanh nghiệp 2020
Nội dung: Điều 159. Quyền được cung cấp thông tin của thành viên Hội đồng quản trị 1. Thành viên Hội đồng quản trị có quyền yêu cầu Giám đốc, Phó giám đốc hoặc Tổng giám đốc, Phó Tổng giám đốc, người quản lý khác trong công ty cung cấp thông tin, tài liệu về tình hình tài chính, hoạt động kinh doanh của công ty và của đơn vị trong công ty. 2. Người quản lý được yêu cầu phải cung cấp kịp thời, đầy đủ và chính xác thông tin, tài liệu theo yêu cầu của thành viên Hội đồng quản trị. Trình tự, thủ tục yêu cầu và cung"
syn_472_1768631359,"Gia đình tôi muốn lắp đặt internet nhưng cần đi qua đất nhà hàng xóm, họ yêu cầu bồi thường nếu không có sự đồng ý trước, tôi có cần bồi thường không?",Điều 255 - Bộ luật Dân sự 2015,False,1.0,0.415,"**Căn cứ pháp lý:**
---
**Văn bản:** Bộ luật Dân sự 2015
**Nội dung:** Điều 252. Quyền về cấp, thoát nước qua bất động sản liền kề

**Nội dung quy định:**
Hành vi cấp, thoát nước qua bất động sản của người khác sẽ được quy định như sau: ""Hàng chủ sở hữu bất động sản có nước chảy qua phải dành một lối cấp, thoát nước thích hợp, không được cản trở hoặc ngăn chặn dòng nước chảy. Người sử dụng lối cấp, thoát nước phải hạn chế đến mức thấp nhất thiệt hại cho chủ sở hữu bất động sản có nước chảy qua khi lắp đặt đường dẫn nước; nếu gây thiệt hại thì phải bồi thường.""

**Phân tích & Hướng dẫn:**
---
Theo quy định tại Điều 252 của Bộ Luật Dân sự 2015, nếu gia đình bạn muốn lắp đặt internet và cần đi qua đất nhà hàng xóm, thì chủ sở hữu đất nhà của bạn có nghĩa vụ phải dành một lối cấp, thoát nước thích hợp. Nếu không có sự đồng ý trước, bạn có thể phải bồi thường cho chủ sở hữu đất nhà hàng xóm nếu việc lắp đặt gây thiệt hại cho họ. 

Tuy nhiên, quy định cụ thể về mức độ bồi thường, hình thức và thời gian bồi thường có thể thay đổi dựa trên các quy định khác trong Bộ Luật Dân sự 2015. Điều này bao gồm cả nguyên tắc bồi thường thiệt hại (Điều 585 của Bộ Luật Dân sự 2015) và các quy định về việc bồi thường thiệt hại do việc không áp dụng các biện pháp cần thiết để ngăn chặn, hạn chế thiệt hại (Điều 585 của Bộ Luật Dân sự 2015).

Do đó, để đảm bảo quyền lợi và tránh tranh chấp, gia đình bạn nên thỏa thuận với chủ sở hữu đất nhà hàng xóm về việc này. Nếu không thể đạt được thỏa thuận, bạn có thể cần nhờ đến sự hỗ trợ của pháp luật để giải quyết vấn đề này một cách trật tự và minh bạch."
syn_467_1768631320,"Nhà tôi đã xây từ lâu nhưng chưa lắp đặt hệ thống thoát nước mưa, liệu tôi có bị phạt không?",Điều 250 - Bộ luật Dân sự 2015,True,1.0,0.5162162162162162,"**Căn cứ pháp lý:**
---
[Tài liệu 1] - [Bộ luật Dân sự 2015]
---

**Nội dung quy định:**
---
Điều 250. Nghĩa vụ của chủ sở hữu trong việc thoát nước mưa Chủ sở hữu nhà, công trình xây dựng khác phải lắp đặt đường dẫn nước sao cho nước mưa từ mái nhà, công trình xây dựng của mình không được chảy xuống bất động sản của chủ sở hữu bất động sản liền kề.
---

**Phân tích & Hướng dẫn:**
---
Theo Điều 250 của Bộ Luật Dân sự 2015, chủ sở hữu nhà và công trình xây dựng khác có nghĩa vụ lắp đặt đường dẫn nước sao cho nước mưa từ mái nhà, công trình xây dựng của mình không được chảy xuống bất động sản của chủ sở hữu bất động sản liền kề. 

Như vậy, theo quy định này, việc lắp đặt hệ thống thoát nước mưa là một nghĩa vụ pháp lý đối với chủ sở hữu bất động sản. Nếu bạn đã xây nhà từ lâu nhưng chưa lắp đặt hệ thống thoát nước mưa, điều này có thể vi phạm nghĩa vụ của mình.

Tuy nhiên, việc chưa lắp đặt hệ thống thoát nước mưa không chắc chắn sẽ dẫn đến hình thức xử phạt hành chính hoặc dân sự ngay lập tức. Tùy thuộc vào hoàn cảnh cụ thể và mức độ nghiêm trọng của vi phạm, cơ quan chức năng có thể yêu cầu bạn khắc phục hậu quả hoặc áp dụng các biện pháp khác phù hợp.

Để tránh vi phạm và đảm bảo tuân thủ quy định pháp luật, bạn nên nhanh chóng lắp đặt hệ thống thoát nước mưa phù hợp với quy định tại Điều 250 của Bộ Luật Dân sự 2015. Nếu cần hỗ trợ thêm về quy trình lắp đặt hoặc thông tin chi tiết hơn, bạn có thể liên hệ với các cơ quan chức năng hoặc đơn vị tư vấn xây dựng uy tín."
