id,query,ground_truth_citation,citation_accurate,format_adherence,rouge_l,generated_answer
syn_150_1768628866,"Tôi là một nhóm cổ đông của công ty ABC, và chúng tôi đã nhận được nghị quyết mà chúng tôi cho là không hợp lệ. Nếu chúng tôi muốn yêu cầu hủy bỏ nghị quyết, chúng tôi có cần phải lập công văn hay có hình thức nào khác không?",Điều 151 - Luật Doanh nghiệp 2020,False,1.0,0.35508021390374334,"**Căn cứ pháp lý:**
---
[Tài liệu 1] -- Luật Doanh nghiệp 2020, Điều 123
---

**Nội dung quy định:**
---
Điều 123 của Luật Doanh nghiệp 2020 quy định về chào bán cổ phần. Theo đó, chào bán cổ phần có thể thực hiện theo các hình thức như chào bán cổ phần cho cổ đông hiện hữu, chào bán cổ phần riêng lẻ, và chào bán cổ phần ra công chúng. Tuy nhiên, công ty đại chúng và tổ chức khác chào bán cổ phần ra công chúng phải tuân thủ theo quy định của pháp luật về chứng khoán.

---

**Phân tích & Hướng dẫn:**
---
Theo quy định của Luật Doanh nghiệp 2020, công ty ABC đã được cho phép chào bán cổ phần riêng lẻ cho nhóm cổ đông hiện hữu. Nếu nhóm cổ đông bạn nhận được nghị quyết không hợp lệ và muốn yêu cầu hủy bỏ nghị quyết, họ có thể thực hiện bằng cách lập công văn gửi tới công ty ABC.

Tuy nhiên, nếu công ty ABC đã chào bán cổ phần ra công chúng, nhóm cổ đông sẽ cần tuân thủ các quy định cụ thể về chào bán cổ phần ra công chúng, trong đó có việc gửi công văn hoặc sử dụng hình thức khác do pháp luật về chứng khoán quy định.

Trong trường hợp này, nhóm cổ đông nên tham khảo thêm quy định cụ thể về việc yêu cầu hủy bỏ nghị quyết của pháp luật về chứng khoán, vì quy định này có thể khác nhau tùy thuộc vào hình thức chào bán cụ thể.

Nếu nhóm cổ đông không chắc chắn về quy trình cụ thể, họ có thể cần liên hệ với một chuyên gia tư vấn pháp luật hoặc法律顾问 để được hỗ trợ và hướng dẫn cụ thể hơn trong trường hợp của mình.
---
Đây là phân tích dựa trên thông tin có sẵn. Nếu có thêm thông tin cụ thể về quy trình hủy bỏ nghị quyết của công ty ABC, tôi sẽ có thể cung cấp thêm chi tiết."
syn_1421_1768641326_0,"Gia đình tôi đang bị đe dọa bởi một nhóm người đòi tiền chuộc, họ đã bắt cóc con tôi và yêu cầu chúng tôi phải trả 300 triệu đồng. Tôi nên làm gì để xử lý tình huống này?",Điều 169 - Bộ luật Hình sự (Văn bản hợp nhất 2017),False,0.0,0.28470380194518125,"**CĂN CỨ PHÁP LUẬT THAM KHẢO:**
---
**Tài liệu 1:** Luật Doanh nghiệp 2020 - Điều 57
**Tài liệu 2:** Luật Hôn nhân và Gia đình 2014 - Điều 13 (Giải thích từ ngữ), Điều 14 (Hôn nhân), Điều 16 (Kết hôn), Điều 17 (Cưỡng ép kết hôn, ly hôn), Điều 18 (Ly hôn giả tạo), Điều 20 (Quan hệ hôn nhân và gia đình có yếu tố nước ngoài)
**Tài liệu 3:** Luật Hôn nhân và Gia đình 2014 - Điều 15 (Cưỡng ép ly hôn), Điều 16 (Yêu sách của cải trong kết hôn), Điều 17 (Cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn), Điều 20 (Bạo lực gia đình)
---

**CĂN CỨ PHÁP LUẬT THAM KHẢO:**
---
**Tài liệu 1:** Luật Doanh nghiệp 2020 - Điều 57
**Tài liệu 2:** Luật Hôn nhân và Gia đình 2014 - Điều 13 (Giải thích từ ngữ), Điều 14 (Hôn nhân), Điều 16 (Kết hôn), Điều 17 (Cưỡng ép kết hôn, ly hôn), Điều 18 (Ly hôn giả tạo), Điều 20 (Quan hệ hôn nhân và gia đình có yếu tố nước ngoài)
**Tài liệu 3:** Luật Hôn nhân và Gia đình 2014 - Điều 15 (Cưỡng ép ly hôn), Điều 16 (Yêu sách của cải trong kết hôn), Điều 17 (Cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn), Điều 20 (Bạo lực gia đình)
---

**CĂN CỨ PHÁP LUẬT THAM KHẢO:**
---
**Tài liệu 1:** Luật Doanh nghiệp 2020 - Điều 57
**Tài liệu 2:** Luật Hôn nhân và Gia đình 2014 - Điều 13 (Giải thích từ ngữ), Điều 14"
syn_262_1768629823,"Gia đình tôi đã sống trên tàu cá trong một thời gian dài, nhưng chúng tôi vẫn chưa đăng ký nơi cư trú. Vậy liệu chúng tôi có bị ảnh hưởng gì không?",Điều 45 - Bộ luật Dân sự 2015,True,0.0,0.4820659971305596,"**CĂN CỨ PHÁP LUẬT THAM KHẢO:**
---
[Văn bản] Bộ luật Dân sự 2015
[Nội dung] Điều 45. Nơi cư trú của người làm nghề lưu động

**CÂU HỎI:**
Gia đình tôi đã sống trên tàu cá trong một thời gian dài, nhưng chúng tôi vẫn chưa đăng ký nơi cư trú. Vậy liệu chúng tôi có bị ảnh hưởng gì không?

**TRẢ LỜI:**
Theo Điều 45 của Bộ Luật Dân sự 2015, nơi cư trú của người làm nghề lưu động trên tàu, thuyền, phương tiện hành nghề lưu động khác là nơi đăng ký tàu, thuyền, phương tiện đó, trừ trường hợp họ có nơi cư trú theo quy định tại khoản 1 Điều 40 của Bộ Luật này.

Trong trường hợp của gia đình bạn, nếu bạn đang sống trên tàu cá và chưa đăng ký nơi cư trú theo quy định, bạn sẽ bị coi là người làm nghề lưu động theo quy định tại Điều 45. Điều này có nghĩa là bạn sẽ không được coi là có nơi cư trú cố định.

Tuy nhiên, việc chưa đăng ký nơi cư trú không đồng nghĩa với việc bạn bị mất quyền lợi pháp lý. Bạn vẫn có thể được coi là có nơi cư trú theo quy định tại khoản 1 Điều 40 của Bộ Luật Dân sự 2015, nếu bạn có một nơi ở cố định (như nhà đất) hoặc một địa điểm cụ thể mà bạn thường xuyên sinh hoạt. 

Nếu bạn chưa đăng ký nơi cư trú theo quy định, bạn nên tiến hành đăng ký ngay để tránh các hậu quả pháp lý không mong muốn. Việc đăng ký nơi cư trú giúp đảm bảo quyền lợi về tài sản, quyền lợi dân sự khác cũng như các quyền khác của bạn theo quy định của pháp luật."
syn_1047_1768638814_0,"Tôi đã làm việc ở công ty A được 3 năm. Gần đây, tôi phát hiện rằng có một đồng nghiệp thường xuyên quấy rối tôi bằng những lời nói không phù hợp. Tôi cảm thấy rất khó chịu và không biết có thể làm gì để bảo vệ bản thân.",Điều 8 - Bộ luật Lao động 2019,False,1.0,0.3710972346119536,"**Căn cứ pháp lý:**
--- [Tài liệu 1] ---
Văn bản: Bộ luật Lao động 2019
Nội dung: Điều 135. Chính sách của Nhà nước 1. Bảo đảm quyền bình đẳng của lao động nữ, lao động nam, thực hiện các biện pháp bảo đảm bình đẳng giới và phòng, chống quấy rối tình dục tại nơi làm việc.

**Nội dung quy định:**
1. Bảo đảm quyền bình đẳng của lao động nữ, lao động nam, thực hiện các biện pháp bảo đảm bình đẳng giới và phòng, chống quấy rối tình dục tại nơi làm việc.

**Phân tích & Hướng dẫn:**
Theo Điều 135 của Bộ Luật Lao động 2019, việc công ty A cần phải đảm bảo quyền bình đẳng giữa lao động nữ và lao động nam, đồng thời thực hiện các biện pháp bảo đảm bình đẳng giới và phòng, chống quấy rối tình dục tại nơi làm việc. Điều này có nghĩa là công ty A phải có các biện pháp cụ thể để ngăn chặn và xử lý kịp thời các hành vi quấy rối tình dục.

Trong trường hợp của bạn, công ty A đã có trách nhiệm trong việc này. Tuy nhiên, bạn cũng cần hiểu rõ về các quyền và trách nhiệm của mình trong việc bảo vệ quyền lợi cá nhân. Theo Điều 118 của Bộ Luật Lao động 2019, người sử dụng lao động phải ban hành nội quy lao động nếu sử dụng từ 10 người lao động trở lên, và nội quy lao động đó phải bao gồm các nội dung liên quan đến phòng chống quấy rối tình dục tại nơi làm việc.

Bên cạnh đó, bạn cũng có thể yêu cầu công ty A lập tức thực hiện các biện pháp bảo vệ bạn khỏi hành vi quấy rối, như thay đổi vị trí làm việc, hoặc thậm chí yêu cầu công ty A xem xét việc chấm dứt hợp đồng với đồng nghiệp gây ra hành vi quấy rối. 

Nếu công ty A không đáp ứng yêu cầu của bạn, bạn có thể yêu cầu tổ chức đại diện người lao động tại cơ sở tham gia vào việc giải quyết vấn đề này. Đồng thời, bạn cũng có thể liên hệ với cơ quan chức năng có thẩm quyền để được hỗ trợ và hướng dẫn.

Nếu sau khi thực hiện các biện"
syn_811_1768633563,"Tôi đã đánh một người vì họ cố gắng xâm hại đến tài sản của tôi, nhưng tôi đã dùng vũ lực quá mức. Liệu tôi có phải bồi thường không?",Điều 594 - Bộ luật Dân sự 2015,False,1.0,0.35730337078651686,"**Căn cứ pháp lý:**
Bộ luật Dân sự 2015 - [Tài liệu 1]

**Nội dung quy định:**
Theo Điều 591 của Bộ luật Dân sự 2015, trong trường hợp tính mạng của người khác bị xâm phạm, người chịu trách nhiệm bồi thường thiệt hại bao gồm: a) Thiệt hại do sức khỏe bị xâm phạm theo quy định tại Điều 590 của Bộ luật này; b) Chi phí hợp lý cho việc mai táng; c) Tiền cấp dưỡng cho những người mà người bị thiệt hại có nghĩa vụ cấp dưỡng; d) Thiệt hại khác do luật quy định. Người chịu trách nhiệm bồi thường cũng phải bồi thường thiệt hại về tinh thần cho những người thân thích thuộc hàng thừa kế thứ nhất của người bị thiệt hại, nếu không có những người này thì người mà người bị thiệt hại đã trực tiếp nuôi dưỡng, người đã trực tiếp nuôi dưỡng người bị thiệt hại được hưởng khoản tiền này. Mức bồi thường bù đắp tổn thất về tinh thần do các bên thỏa thuận; nếu không thỏa thuận được, mức tối đa cho một người có tính mạng bị xâm phạm không quá một trăm lần mức lương cơ sở do Nhà nước quy định.

**Phân tích & Hướng dẫn:**
Trong tình huống bạn đã đánh một người vì họ cố gắng xâm hại tài sản của bạn, nhưng bạn đã dùng vũ lực quá mức, có thể xem xét rằng hành vi của bạn đã gây ra thương tích hoặc tổn hại đến sức khỏe của người đó. Theo Điều 591 của Bộ luật Dân sự 2015, nếu bạn đã gây ra thiệt hại về sức khỏe hoặc bất kỳ tổn thất nào khác liên quan đến tính mạng của người khác, bạn có nghĩa vụ bồi thường thiệt hại theo quy định của pháp luật.

Việc bạn đã sử dụng vũ lực quá mức có thể coi là hành vi gây thương tích hoặc gây tổn thương sức khỏe, dẫn đến việc bạn cần phải bồi thường. Tuy nhiên, mức độ thiệt hại cụ thể cần được xác định dựa trên các bằng chứng pháp lý và y tế liên quan. 

Mức bồi thường về tinh thần cũng có thể được yêu cầu nếu người bị thương tích hoặc tổn thương sức khỏe cảm thấy tổn thất về tinh thần. Mức tối đa"
syn_1493_1768641901_1,"Công ty tôi vừa nhập khẩu một lô hàng thực vật và không biết rằng chúng thuộc diện kiểm dịch. Nếu lô hàng này gây ra dịch bệnh, tôi có thể phải chịu trách nhiệm pháp lý gì?",Điều 241 - Bộ luật Hình sự (Văn bản hợp nhất 2017),True,1.0,0.4663133989401968,"**Căn cứ pháp lý:** 
Điều 241. Tội làm lây lan dịch bệnh nguy hiểm cho động vật, thực vật - Bộ luật Hình sự (Văn bản hợp nhất 2017)

**Nội dung quy định:**
Người nào thực hiện một trong các hành vi sau đây, làm lây lan dịch bệnh nguy hiểm cho động vật, thực vật gây thiệt hại về tài sản từ 100.000.000 đồng đến dưới 500.000.000 đồng hoặc đã bị xử phạt vi phạm hành chính về một trong những hành vi này mà còn vi phạm, thì bị phạt tiền từ 50.000.000 đồng đến 200.000.000 đồng, phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 02 năm.

**Phân tích & Hướng dẫn:**
Theo quy định tại Điều 241 của Bộ Luật Hình sự, nếu Công ty của bạn đã nhập khẩu một lô hàng thực vật mà không tuân thủ quy định về kiểm dịch, và lô hàng đó sau đó gây ra dịch bệnh, Công ty sẽ bị phạt tiền từ 50.000.000 đồng đến 200.000.000 đồng hoặc phạt tù từ 06 tháng đến 02 năm. 

Trong trường hợp này, nếu lô hàng thực vật mà Công ty bạn nhập khẩu không tuân thủ quy định về kiểm dịch và sau đó gây ra dịch bệnh, Công ty sẽ cần xem xét và tuân thủ các biện pháp khắc phục hậu quả, như việc khôi phục lại tình trạng ban đầu, khắc phục hậu quả hoặc thực hiện các biện pháp khác theo quy định của pháp luật. 

Ngoài ra, Công ty cũng cần chịu trách nhiệm về việc khôi phục lại tình trạng ban đầu, ngăn chặn và khắc phục hậu quả tiếp tục xảy ra do hành vi vi phạm của mình. Điều này có thể bao gồm việc tháo dỡ công trình, phần công trình xây dựng không có giấy phép hoặc khắc phục tình trạng ô nhiễm môi trường, lây lan dịch bệnh.

Việc tuân thủ các quy định về kiểm dịch là rất quan trọng. Nếu bạn có bất kỳ nghi ngờ nào về việc lô hàng của mình thuộc diện kiểm"
syn_557_1768631918,"Tôi là bên bảo lãnh cho một khoản vay, nhưng bên được bảo lãnh không trả nợ đúng hạn. Tôi có thể yêu cầu họ trả nợ cho tôi không?",Điều 340 - Bộ luật Dân sự 2015,False,1.0,0.31789737171464333,"**Căn cứ pháp lý:**
--- [Tài liệu 1] ---
Văn bản: Bộ luật Dân sự 2015
Nội dung: Điều 466. Nghĩa vụ trả nợ của bên vay

**Nội dung quy định:**
1. Bên vay tài sản là tiền thì phải trả đủ tiền khi đến hạn; nếu tài sản là vật thì phải trả vật cùng loại đúng số lượng, chất lượng, trừ trường hợp có thỏa thuận khác.
2. Trường hợp bên vay không thể trả vật thì có thể trả bằng tiền theo trị giá của vật đã vay tại địa điểm và thời điểm trả nợ, nếu được bên cho vay đồng ý.
3. Địa điểm trả nợ là nơi cư trú hoặc nơi đặt trụ sở của bên cho vay, trừ trường hợp có thỏa thuận khác.
4. Trường hợp vay không có lãi mà khi đến hạn bên vay không trả nợ hoặc trả không đầy đủ thì bên cho vay có quyền yêu cầu trả tiền lãi với mức lãi suất theo quy định tại khoản 2 Điều 468 của Bộ luật này trên số tiền chậm trả tương ứng với thời gian chậm trả, trừ trường hợp có thỏa thuận khác hoặc luật có quy định khác.
5. Trường hợp vay có lãi mà khi đến hạn bên vay không trả hoặc trả không đầy đủ thì bên vay phải trả lãi như sau: a) Lãi trên nợ gốc theo lãi suất thỏa thuận trong hợp đồng tương ứng với thời hạn vay mà đến hạn chưa trả; trường hợp chậm trả thì còn phải trả lãi theo mức lãi suất quy định tại khoản 2 Điều 468 của Bộ luật này; b) Lãi trên nợ gốc quá hạn chưa trả bằng 150% lãi suất vay theo hợp đồng tương ứng với thời gian chậm trả, trừ trường hợp có thỏa thuận khác.

**Phân tích & Hướng dẫn:**
Theo quy định tại Điều 466 của Bộ Luật Dân sự 2015, bên cho vay có quyền yêu cầu bên vay trả nợ đúng hạn. Tuy nhiên, trong trường hợp này, bạn là bên bảo lãnh và bên được bảo lãnh (bên vay) không trả nợ đúng hạn, bạn không có quyền yêu cầu bên vay trả nợ trực tiếp cho bạn.

Bên cạnh đó, theo Điều 466, bên cho vay có quyền yêu cầu trả"
syn_732_1768633029,Tôi đang quản lý một công ty và đã ký hợp đồng với một nhà cung cấp dịch vụ nhưng họ không cung cấp đầy đủ thông tin cần thiết để thực hiện công việc. Tôi phải làm gì?,Điều 515 - Bộ luật Dân sự 2015,False,0.0,0.2877871825876663,"**CĂN CỨ PHÁP LUẬT THAM KHẢO:**
--- [Tài liệu 1] ---
Văn bản: Luật Doanh nghiệp 2020
Nội dung: Điều 159. Quyền được cung cấp thông tin của thành viên Hội đồng quản trị 1. Thành viên Hội đồng quản trị có quyền yêu cầu Giám đốc, Phó giám đốc hoặc Tổng giám đốc, Phó Tổng giám đốc, người quản lý khác trong công ty cung cấp thông tin, tài liệu về tình hình tài chính, hoạt động kinh doanh của công ty và của đơn vị trong công ty. 2. Người quản lý được yêu cầu phải cung cấp kịp thời, đầy đủ và chính xác thông tin, tài liệu theo yêu cầu của thành viên Hội đồng quản trị. Trình tự, thủ tục yêu cầu và cung cấp thông tin do Điều lệ công ty quy định.

--- [Tài liệu 3] ---
Văn bản: Luật Doanh nghiệp 2020
Nội dung: Điều 141. Danh sách cổ đông có quyền dự họp Đại hội đồng cổ đông 1. Danh sách cổ đông có quyền dự họp Đại hội đồng cổ đông được lập dựa trên sổ đăng ký cổ đông của công ty. Danh sách cổ đông có quyền dự họp Đại hội đồng cổ đông được lập không quá 10 ngày trước ngày gửi giấy mời họp Đại hội đồng cổ đông nếu Điều lệ công ty không quy định thời hạn ngắn hơn. 2. Danh sách cổ đông có quyền dự họp Đại hội đồng cổ đông phải có họ, tên, địa chỉ liên lạc, quốc tịch, số giấy tờ pháp lý của cá nhân đối với cổ đông là cá nhân; tên, mã số doanh nghiệp hoặc số giấy tờ pháp lý của tổ chức, địa chỉ trụ sở chính đối với cổ đông là tổ chức; số lượng cổ phần từng loại, số và ngày đăng ký cổ đông của từng cổ đông. 3. Cổ đông có quyền kiểm tra, tra cứu, trích lục, sao chép tên và địa chỉ liên lạc của cổ đông trong danh sách cổ đông có quyền dự họp Đại hội đồng cổ đông; yêu cầu sửa đổi thông tin sai lệch hoặc bổ sung thông tin cần thiết về mình trong danh sách cổ đông có quyền dự họp Đại hội đồng cổ đông. Người quản lý công ty phải cung cấp kịp thời thông tin trong sổ đăng"
syn_472_1768631359,"Gia đình tôi muốn lắp đặt internet nhưng cần đi qua đất nhà hàng xóm, họ yêu cầu bồi thường nếu không có sự đồng ý trước, tôi có cần bồi thường không?",Điều 255 - Bộ luật Dân sự 2015,False,1.0,0.3394383394383395,"**Căn cứ pháp lý:** 
- Điều 499. Quyền của bên cho mượn tài sản - Bộ Luật Dân sự 2015

**Nội dung quy định:**
1. Đòi lại tài sản ngay sau khi bên mượn đạt được mục đích nếu không có thỏa thuận về thời hạn mượn.
2. Đòi lại tài sản khi bên mượn sử dụng không đúng mục đích, công dụng, không đúng cách thức đã thỏa thuận hoặc cho người khác mượn lại mà không có sự đồng ý của bên cho mượn.
3. Yêu cầu bồi thường thiệt hại đối với tài sản do bên mượn gây ra.

**Phân tích & Hướng dẫn:**
Trong trường hợp này, việc gia đình bạn muốn lắp đặt internet qua đất nhà hàng xóm có thể xem như việc ""cho mượn"" tài sản (trong trường hợp này là đất nhà hàng xóm) để phục vụ mục đích cá nhân (lắp đặt internet). Theo Điều 499 của Bộ Luật Dân sự 2015, nếu không có thỏa thuận về thời hạn mượn, thì gia đình bạn có quyền yêu cầu nhà hàng xóm đền bù nếu không có sự đồng ý trước. 

Tuy nhiên, trong quy định này, chỉ đề cập đến việc ""mượn"" tài sản để đạt mục đích cá nhân, không nói rõ về việc ""đặt gia công"" hay ""giao thông"". Do đó, cần xem xét thêm các quy định liên quan đến việc đặt gia công hoặc quyền của chủ sở hữu đất đai.

Theo Điều 545 của Bộ Luật Dân sự 2015, bên đặt gia công có quyền yêu cầu bồi thường thiệt hại nếu bên nhận gia công vi phạm nghiêm trọng hợp đồng. Trong trường hợp này, việc đặt gia công qua đất nhà hàng xóm có thể xem như một hợp đồng ""giao thông"", trong đó có sự đồng ý từ phía nhà hàng xóm.

Như vậy, nếu không có thỏa thuận về việc đi qua đất nhà hàng xóm để lắp đặt internet, thì gia đình bạn có quyền yêu cầu nhà hàng xóm đền bù. Tuy nhiên, cần lưu ý rằng việc này cũng dựa trên nguyên tắc nguyên tắc về quyền riêng tư và quyền sử dụng đất của nhà hàng xóm, nên cần cân nhắc"
syn_467_1768631320,"Nhà tôi đã xây từ lâu nhưng chưa lắp đặt hệ thống thoát nước mưa, liệu tôi có bị phạt không?",Điều 250 - Bộ luật Dân sự 2015,True,1.0,0.4820659971305596,"**Căn cứ pháp lý:** 
- [Tài liệu 1] - [Tài liệu 2]
- Bộ luật Dân sự 2015

**Nội dung quy định:**  
Theo Điều 250 của Bộ Luật Dân sự 2015, chủ sở hữu nhà, công trình xây dựng khác phải lắp đặt đường dẫn nước sao cho nước mưa từ mái nhà, công trình xây dựng của mình không được chảy xuống bất động sản của chủ sở hữu bất động sản liền kề. Điều 252 cũng quy định về quyền về cấp, thoát nước qua bất động sản liền kề, yêu cầu chủ sở hữu bất động sản có nước chảy qua phải dành một lối cấp, thoát nước thích hợp và không được cản trở hoặc ngăn chặn dòng nước chảy. 

**Phân tích & Hướng dẫn:**
Theo quy định trên, nếu nhà bạn đã xây dựng từ lâu nhưng chưa lắp đặt hệ thống thoát nước mưa, bạn cần tuân thủ quy định về việc lắp đặt đường dẫn nước theo Điều 250 của Bộ Luật Dân sự 2015. Nếu không tuân thủ, có thể sẽ ảnh hưởng đến việc cấp, thoát nước của bạn và người sử dụng bất động sản liền kề. 

Tuy nhiên, cần lưu ý rằng hiện tại chưa có quy định cụ thể về hình thức xử phạt đối với việc không lắp đặt hệ thống thoát nước mưa. Việc không tuân thủ có thể dẫn đến những hậu quả như gây ô nhiễm môi trường, ảnh hưởng đến vệ sinh và sức khỏe cộng đồng, thậm chí có thể ảnh hưởng đến quyền lợi của người sử dụng nước mưa liền kề. 

Nếu bạn đang lo ngại về việc có thể bị phạt, tôi khuyên bạn nên liên hệ với cơ quan chức năng địa phương để được hướng dẫn và giải quyết vấn đề một cách phù hợp."
