id,query,ground_truth_citation,citation_accurate,format_adherence,rouge_l,generated_answer
syn_150_1768628866,"Tôi là một nhóm cổ đông của công ty ABC, và chúng tôi đã nhận được nghị quyết mà chúng tôi cho là không hợp lệ. Nếu chúng tôi muốn yêu cầu hủy bỏ nghị quyết, chúng tôi có cần phải lập công văn hay có hình thức nào khác không?",Điều 151 - Luật Doanh nghiệp 2020,True,1.0,0.6775119617224881,"**Căn cứ pháp lý:**
---
Văn bản: Luật Doanh nghiệp 2020
Nội dung: Điều 151. Yêu cầu hủy bỏ nghị quyết Đại hội đồng cổ đông

**Nội dung quy định:**
Trong thời hạn 90 ngày kể từ ngày nhận được nghị quyết hoặc biên bản họp Đại hội đồng cổ đông hoặc biên bản kết quả kiểm phiếu lấy ý kiến Đại hội đồng cổ đông, cổ đông, nhóm cổ đông quy định tại khoản 2 Điều 115 của Luật này có quyền yêu cầu Tòa án hoặc Trọng tài xem xét, hủy bỏ nghị quyết hoặc một phần nội dung nghị quyết Đại hội đồng cổ đông trong các trường hợp sau đây: 1. Trình tự, thủ tục triệu tập họp và ra quyết định của Đại hội đồng cổ đông vi phạm nghiêm trọng quy định của Luật này và Điều lệ công ty, trừ trường hợp quy định tại khoản 2 Điều 152 của Luật này; 2. Nội dung nghị quyết vi phạm pháp luật hoặc Điều lệ công ty.

**Phân tích & Hướng dẫn:**
Theo quy định tại Điều 151 của Luật Doanh nghiệp 2020, nếu bạn là một nhóm cổ đông của công ty ABC và bạn nhận thấy rằng nghị quyết Đại hội đồng cổ đông mà công ty đã thông qua là không hợp lệ, bạn có quyền yêu cầu Tòa án hoặc Trọng tài xem xét và hủy bỏ nghị quyết hoặc một phần nội dung nghị quyết đó. 

Điều 151 không chỉ rõ về việc bạn cần phải lập công văn hay sử dụng hình thức nào khác để thực hiện yêu cầu này. Tuy nhiên, thông thường, việc yêu cầu hủy bỏ nghị quyết sẽ được thực hiện thông qua việc gửi đơn yêu cầu tới cơ quan có thẩm quyền (tùy thuộc vào hình thức tố tụng mà bạn chọn, đó có thể là Tòa án hoặc Trọng tài). 

Bạn nên lưu ý rằng, để đảm bảo yêu cầu của mình được chấp nhận, bạn cần tuân thủ thời hạn 90 ngày quy định tại Điều 151. Đồng thời, bạn cũng cần chứng minh được rằng trình tự và thủ tục triệu tập họp và ra quyết định của Đại hội đồng cổ đông đã vi phạm nghiêm trọng quy định của Luật này và Điều lệ công ty, hoặc nội dung nghị quyết đã vi phạm pháp luật hoặc Điều lệ công ty.

Nếu bạn lựa chọn sử dụng"
syn_1421_1768641326_0,"Gia đình tôi đang bị đe dọa bởi một nhóm người đòi tiền chuộc, họ đã bắt cóc con tôi và yêu cầu chúng tôi phải trả 300 triệu đồng. Tôi nên làm gì để xử lý tình huống này?",Điều 169 - Bộ luật Hình sự (Văn bản hợp nhất 2017),True,0.6666666666666666,0.8035569927243331,"**Căn cứ pháp lý:**
Điều 169. Tội bắt cóc nhằm chiếm đoạt tài sản - Bộ luật Hình sự (Văn bản hợp nhất 2017)

**Nội dung quy định:**
1. Người nào bắt cóc người khác làm con tin nhằm chiếm đoạt tài sản, thì bị phạt tù từ 02 năm đến 07 năm.
2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 05 năm đến 12 năm: a) Có tổ chức; b) Có tính chất chuyên nghiệp; c) Dùng vũ khí, phương tiện hoặc thủ đoạn nguy hiểm khác; d) Đối với người dưới 16 tuổi; đ) Đối với 02 người trở lên; e) Chiếm đoạt tài sản trị giá từ 50.000.000 đồng đến dưới 200.000.000 đồng; g) Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 11% đến 30%; h) Gây ảnh hưởng xấu đến an ninh, trật tự, an toàn xã hội; i) Tái phạm nguy hiểm.
3. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 18 năm: a) Chiếm đoạt tài sản trị giá từ 200.000.000 đồng đến dưới 500.000.000 đồng; b) Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%.
4. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 15 năm đến 20 năm hoặc tù chung thân: a) Chiếm đoạt tài sản trị giá 500.000.000 đồng trở lên; b) Làm chết người; c) Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên.
5. Người chuẩn bị phạm tội này, thì bị phạt tù"
syn_262_1768629823,"Gia đình tôi đã sống trên tàu cá trong một thời gian dài, nhưng chúng tôi vẫn chưa đăng ký nơi cư trú. Vậy liệu chúng tôi có bị ảnh hưởng gì không?",Điều 45 - Bộ luật Dân sự 2015,True,0.6666666666666666,0.4305732484076433,"**CĂN CỨ PHÁP LUẬT THAM KHẢO:**
- **Tài liệu 1:** Bộ luật Dân sự 2015 - Điều 45
- **Tài liệu 2:** Luật Hôn nhân và Gia đình 2014 - Điều 14

**Nội dung quy định:**
Theo Điều 45 của Bộ luật Dân sự 2015, nơi cư trú của người làm nghề lưu động trên tàu, thuyền, phương tiện hành nghề lưu động khác là nơi đăng ký tàu, thuyền, phương tiện đó, trừ trường hợp họ có nơi cư trú theo quy định tại khoản 1 Điều 40 của Bộ luật này. Điều 40 quy định nơi cư trú của cá nhân là nơi người đó thường xuyên sinh sống. 

Theo Điều 14 của Luật Hôn nhân và Gia đình 2014, nam, nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn sẽ không làm phát sinh quyền, nghĩa vụ giữa vợ và chồng, nhưng quyền, nghĩa vụ đối với con, tài sản, nghĩa vụ và hợp đồng giữa các bên được giải quyết theo quy định tại Điều 15 và Điều 16 của Luật này.

**Phân tích & Hướng dẫn:**
Theo quy định của Bộ luật Dân sự 2015, nơi cư trú của người làm nghề lưu động trên tàu, thuyền, phương tiện hành nghề lưu động khác là nơi đăng ký tàu, thuyền, phương tiện đó. Tuy nhiên, nếu người đó không đăng ký nơi cư trú, thì căn cứ vào Điều 40 của Bộ luật Dân sự 2015, nơi cư trú của người đó là nơi người đó thường xuyên sinh sống.

Vì vậy, nếu gia đình bạn đã sống trên tàu cá trong một thời gian dài và được coi là thường xuyên sinh sống trên tàu, thì nơi cư trú của bạn là nơi đăng ký tàu cá. Tuy nhiên, nếu không đăng ký, thì nơi cư trú của bạn là nơi bạn thường xuyên sinh sống trên tàu.

Đối với tình huống chung sống như vợ chồng mà không đăng ký kết hôn, theo Điều 14 của Luật Hôn nhân và Gia đình 2014, quyền, nghĩa vụ đối với con, tài sản, nghĩa vụ và hợp đồng giữa các bên sẽ được giải quyết theo quy"
syn_1047_1768638814_0,"Tôi đã làm việc ở công ty A được 3 năm. Gần đây, tôi phát hiện rằng có một đồng nghiệp thường xuyên quấy rối tôi bằng những lời nói không phù hợp. Tôi cảm thấy rất khó chịu và không biết có thể làm gì để bảo vệ bản thân.",Điều 8 - Bộ luật Lao động 2019,False,0.6666666666666666,0.3556851311953353,"**CĂN CỨ PHÁP LUẬT THAM KHẢO:**
---
- **Bộ luật Lao động 2019** (tài liệu 1)
- **Bộ luật Hình sự (Văn bản hợp nhất 2017)** (tài liệu 2)

---

**Nội dung quy định:**
Theo Bộ luật Lao động 2019, người lao động có quyền không bị phân biệt đối xử, quấy rối tình dục tại nơi làm việc. Đồng thời, Bộ luật Hình sự cũng quy định về tội quấy rối và trách nhiệm hình sự đối với hành vi này.

**Phân tích & Hướng dẫn:**

Theo Điều 5 của Bộ luật Lao động 2019, người lao động có quyền không bị phân biệt đối xử, quấy rối tình dục tại nơi làm việc. Điều này cho thấy rằng bạn có quyền bảo vệ bản thân khỏi hành vi quấy rối của đồng nghiệp. 

Bạn cần phải nhanh chóng thông báo cho quản lý cấp cao hoặc bộ phận nhân sự của công ty A về tình hình này. Công ty có trách nhiệm bảo vệ quyền lợi của bạn và sẽ tiến hành xử lý vấn đề này theo quy định của pháp luật.

Nếu hành vi quấy rối vẫn tiếp tục, bạn nên lưu lại chứng cứ bằng cách ghi âm hoặc ghi lại những lời nói không phù hợp của đồng nghiệp. Việc này sẽ giúp bạn có đủ bằng chứng để yêu cầu xử lý vấn đề này.

Ngoài ra, theo Điều 415 của Bộ luật Hình sự, nếu hành vi quấy rối của đồng nghiệp được xác định là cố ý và gây hậu quả nghiêm trọng, bạn có thể yêu cầu công ty tố cáo hành vi này lên cơ quan công an để tiến hành điều tra và xử lý theo quy định của pháp luật hình sự.

Cuối cùng, nếu bạn cảm thấy không thể bảo vệ quyền lợi của mình tại công ty, bạn có thể xem xét chuyển đi chỗ khác hoặc tìm kiếm sự hỗ trợ pháp lý từ một luật sư chuyên về lao động để có hướng giải quyết phù hợp."
syn_811_1768633563,"Tôi đã đánh một người vì họ cố gắng xâm hại đến tài sản của tôi, nhưng tôi đã dùng vũ lực quá mức. Liệu tôi có phải bồi thường không?",Điều 594 - Bộ luật Dân sự 2015,False,1.0,0.3355408388520971,"**Căn cứ pháp lý:** 
Điều 584. Căn cứ phát sinh trách nhiệm bồi thường thiệt hại - Bộ luật Dân sự 2015

**Nội dung quy định:**
1. Người nào có hành vi xâm phạm tính mạng, sức khỏe, danh dự, nhân phẩm, uy tín, tài sản, quyền, lợi ích hợp pháp khác của người khác mà gây thiệt hại thì phải bồi thường, trừ trường hợp Bộ luật này, luật khác có liên quan quy định khác.
2. Người gây thiệt hại không phải chịu trách nhiệm bồi thường thiệt hại trong trường hợp thiệt hại phát sinh là do sự kiện bất khả kháng hoặc hoàn toàn do lỗi của bên bị thiệt hại, trừ trường hợp có thỏa thuận khác hoặc luật có quy định khác.
3. Trường hợp tài sản gây thiệt hại thì chủ sở hữu, người chiếm hữu tài sản phải chịu trách nhiệm bồi thường thiệt hại, trừ trường hợp thiệt hại phát sinh theo quy định tại khoản 2 Điều này.

**Phân tích & Hướng dẫn:**
Theo Điều 584 của Bộ Luật Dân sự 2015, bạn đã gây thiệt hại cho người khác thông qua việc sử dụng vũ lực, mặc dù mục đích ban đầu là nhằm bảo vệ tài sản của mình. Tuy nhiên, hành vi của bạn đã vượt quá giới hạn cần thiết để bảo vệ tài sản, dẫn đến việc gây thiệt hại quá mức cho người khác. 

Theo điểm 2 của Điều 584, người gây thiệt hại không phải chịu trách nhiệm bồi thường nếu thiệt hại phát sinh là do sự kiện bất khả kháng hoặc hoàn toàn do lỗi của bên bị thiệt hại. Trong trường hợp này, việc đánh người cố gắng xâm hại tài sản của bạn có thể coi là hành vi của bên bị thiệt hại, do đó, bạn không phải chịu trách nhiệm bồi thường.

Tuy nhiên, cần lưu ý rằng, việc đánh người cũng có thể xâm phạm đến quyền và lợi ích hợp pháp khác của họ, ví dụ như quyền được sống, quyền không bị thương tổn. Nếu bạn đã gây ra thiệt hại về mặt thể chất hoặc tinh thần cho người bị đánh, bạn vẫn có thể phải bồi thường theo quy định tại Điều 584.

Vì vậy, để đảm bảo tuân thủ pháp luật và tránh rủi ro pháp lý, bạn nên cân nhắc lại hành động của mình và"
syn_1493_1768641901_1,"Công ty tôi vừa nhập khẩu một lô hàng thực vật và không biết rằng chúng thuộc diện kiểm dịch. Nếu lô hàng này gây ra dịch bệnh, tôi có thể phải chịu trách nhiệm pháp lý gì?",Điều 241 - Bộ luật Hình sự (Văn bản hợp nhất 2017),True,1.0,0.6756542426645519,"**Căn cứ pháp lý:**
- Điều 241. Tội làm lây lan dịch bệnh nguy hiểm cho động vật, thực vật - Bộ luật Hình sự (Văn bản hợp nhất 2017)

**Nội dung quy định:**
1. Người nào thực hiện một trong các hành vi sau đây, làm lây lan dịch bệnh nguy hiểm cho động vật, thực vật gây thiệt hại về tài sản từ 100.000.000 đồng đến dưới 500.000.000 đồng hoặc đã bị xử phạt vi phạm hành chính về một trong những hành vi này mà còn vi phạm, thì bị phạt tiền từ 50.000.000 đồng đến 200.000.000 đồng, phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 02 năm.
2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 02 năm đến 05 năm: a) Gây thiệt hại về tài sản từ 500.000.000 đồng đến dưới 1.000.000.000 đồng; b) Dẫn đến phải công bố dịch thuộc thẩm quyền của Chủ tịch Ủy ban nhân dân cấp huyện hoặc Chủ tịch Ủy ban nhân dân cấp tỉnh.
3. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 03 năm đến 07 năm: a) Gây thiệt hại về tài sản 1.000.000.000 đồng trở lên; b) Dẫn đến phải công bố dịch thuộc thẩm quyền của Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn.

**Phân tích & Hướng dẫn:**
Theo quy định của Điều 241, nếu công ty bạn đã nhập khẩu lô hàng thực vật mà không tuân thủ quy định về kiểm dịch, và lô hàng này gây ra dịch bệnh, công ty có thể phải đối mặt với trách nhiệm pháp lý. 

Hành vi của công ty đã vi phạm quy định về việc nhập khẩu không tuân thủ các quy định về kiểm dịch, do đó, có thể bị phạt tiền từ 50.000.000 đồng đến 200.000.000 đồng hoặc phạt tù từ"
syn_557_1768631918,"Tôi là bên bảo lãnh cho một khoản vay, nhưng bên được bảo lãnh không trả nợ đúng hạn. Tôi có thể yêu cầu họ trả nợ cho tôi không?",Điều 340 - Bộ luật Dân sự 2015,False,1.0,0.35440180586907455,"**Căn cứ pháp lý:**
---
[Tài liệu 1] - Bộ luật Dân sự 2015

**Nội dung quy định:**
1. Trường hợp bên được bảo lãnh không thực hiện hoặc thực hiện không đúng nghĩa vụ của mình thì bên nhận bảo lãnh có quyền yêu cầu bên bảo lãnh phải thực hiện nghĩa vụ bảo lãnh, trừ trường hợp các bên có thỏa thuận bên bảo lãnh chỉ phải thực hiện nghĩa vụ thay cho bên được bảo lãnh trong trường hợp bên được bảo lãnh không có khả năng thực hiện nghĩa vụ.
2. Bên nhận bảo lãnh không được yêu cầu bên bảo lãnh thực hiện nghĩa vụ thay cho bên được bảo lãnh khi nghĩa vụ chưa đến hạn.
3. Bên bảo lãnh không phải thực hiện nghĩa vụ bảo lãnh trong trường hợp bên nhận bảo lãnh có thể bù trừ nghĩa vụ với bên được bảo lãnh.

---

**Phân tích & Hướng dẫn:**
Theo Điều 339 của Bộ luật Dân sự 2015, trong trường hợp bên được bảo lãnh không thực hiện hoặc thực hiện không đúng nghĩa vụ của mình, bên nhận bảo lãnh có quyền yêu cầu bên bảo lãnh phải thực hiện nghĩa vụ bảo lãnh. Tuy nhiên, bên nhận bảo lãnh không được yêu cầu bên bảo lãnh thực hiện nghĩa vụ thay cho bên được bảo lãnh khi nghĩa vụ chưa đến hạn.

Trong trường hợp bạn là bên bảo lãnh và bên được bảo lãnh không trả nợ đúng hạn, bạn có quyền yêu cầu bên nhận bảo lãnh yêu cầu bên được bảo lãnh thực hiện nghĩa vụ nợ theo hợp đồng vay vốn. Tuy nhiên, bạn không thể trực tiếp yêu cầu bên được bảo lãnh trả nợ cho bạn mà cần thông qua bên nhận bảo lãnh.

Ngoài ra, nếu bạn muốn yêu cầu bên nhận bảo lãnh yêu cầu bên được bảo lãnh trả nợ, bạn nên xem xét các điều khoản thỏa thuận giữa các bên liên quan, đặc biệt là những điều khoản liên quan đến nghĩa vụ bảo lãnh và bù trừ nghĩa vụ.

Nếu không có thỏa thuận khác, bạn có quyền yêu cầu bên nhận bảo lãnh yêu cầu bên được bảo lãnh thực hiện nghĩa vụ nợ theo hợp đồng, nhưng bạn không thể yêu cầu bên nhận bảo lãnh thực hiện nghĩa vụ đó thay mặt bạn."
syn_732_1768633029,Tôi đang quản lý một công ty và đã ký hợp đồng với một nhà cung cấp dịch vụ nhưng họ không cung cấp đầy đủ thông tin cần thiết để thực hiện công việc. Tôi phải làm gì?,Điều 515 - Bộ luật Dân sự 2015,True,1.0,0.47382198952879584,"**Căn cứ pháp lý:**
---
**Căn cứ pháp lý:**
--- [Tài liệu 1] ---
Văn bản: Bộ luật Dân sự 2015
Nội dung: Điều 515. Nghĩ vụ của bên sử dụng dịch vụ 1. Cung cấp cho bên cung ứng dịch vụ thông tin, tài liệu và các phương tiện cần thiết để thực hiện công việc, nếu có thỏa thuận hoặc việc thực hiện công việc đòi hỏi.

**Căn cứ pháp lý:**
--- [Tài liệu 2] ---
Văn bản: Bộ luật Dân sự 2015
Nội dung: Điều 517. Nghĩ vụ của bên cung ứng dịch vụ 1. Thực hiện công việc đúng chất lượng, số lượng, thời hạn, địa điểm và thỏa thuận khác.

---

**Nội dung quy định:**
---
**Nội dung quy định:**
---
**Nội dung quy định:**
--- [Tài liệu 1] ---
Văn bản: Bộ luật Dân sự 2015
Nội dung: Điều 515. Nghĩ vụ của bên sử dụng dịch vụ 1. Cung cấp cho bên cung ứng dịch vụ thông tin, tài liệu và các phương tiện cần thiết để thực hiện công việc, nếu có thỏa thuận hoặc việc thực hiện công việc đòi hỏi.

--- [Tài liệu 2] ---
Văn bản: Bộ luật Dân sự 2015
Nội dung: Điều 517. Nghĩ vụ của bên cung ứng dịch vụ 1. Thực hiện công việc đúng chất lượng, số lượng, thời hạn, địa điểm và thỏa thuận khác.

---

**Phân tích & Hướng dẫn:**
---
**Phân tích & Hướng dẫn:**
---
**Phân tích & Hướng dẫn:**
---
Theo Điều 515 của Bộ luật Dân sự 2015, bên sử dụng dịch vụ có nghĩa vụ cung cấp cho bên cung ứng dịch vụ thông tin, tài liệu và phương tiện cần thiết để thực hiện công việc, nếu có thỏa thuận hoặc việc thực hiện công việc đòi hỏi. 

Trong trường hợp của bạn, nhà cung cấp dịch vụ không cung cấp đầy đủ thông tin cần thiết để bạn có thể thực hiện công việc đúng như hợp đồng đã thỏa thuận. Theo Điều 517 của cùng văn bản luật, bên cung"
syn_472_1768631359,"Gia đình tôi muốn lắp đặt internet nhưng cần đi qua đất nhà hàng xóm, họ yêu cầu bồi thường nếu không có sự đồng ý trước, tôi có cần bồi thường không?",Điều 255 - Bộ luật Dân sự 2015,False,0.3333333333333333,0.3752913752913753,"**CĂN CỨ PHÁP LUẬT THAM KHẢO:**
--- [Tài liệu 1] ---
Văn bản: Bộ luật Dân sự 2015
Nội dung: Điều 577. Nghĩa vụ bồi thường thiệt hại 1. Khi người thực hiện công việc không có ủy quyền cố ý gây thiệt hại trong khi thực hiện công việc thì phải bồi thường thiệt hại cho người có công việc được thực hiện. 2. Nếu người thực hiện công việc không có ủy quyền do vô ý mà gây thiệt hại trong khi thực hiện công việc thì căn cứ vào hoàn cảnh đảm nhận công việc, người đó có thể được giảm mức bồi thường.

--- [Tài liệu 2] ---
Văn bản: Bộ luật Dân sự 2015
Nội dung: Điều 365. Chuyển giao quyền yêu cầu 1. Bên có quyền yêu cầu thực hiện nghĩa vụ có thể chuyển giao quyền yêu cầu đó cho người thế quyền theo thỏa thuận, trừ trường hợp sau đây: a) Quyền yêu cầu cấp dưỡng, yêu cầu bồi thường thiệt hại do xâm phạm đến tính mạng, sức khỏe, danh dự, nhân phẩm, uy tín; b) Bên có quyền và bên có nghĩa vụ có thỏa thuận hoặc pháp luật có quy định về việc không được chuyển giao quyền yêu cầu. 2. Khi bên có quyền yêu cầu chuyển giao quyền yêu cầu cho người thế quyền thì người thế quyền trở thành bên có quyền yêu cầu. Việc chuyển giao quyền yêu cầu không cần có sự đồng ý của bên có nghĩa vụ. Người chuyển giao quyền yêu cầu phải thông báo bằng văn bản cho bên có nghĩa vụ biết về việc chuyển giao quyền yêu cầu, trừ trường hợp có thỏa thuận khác. Trường hợp bên chuyển giao quyền yêu cầu không thông báo về việc chuyển giao quyền mà phát sinh chi phí cho bên có nghĩa vụ thì bên chuyển giao quyền yêu cầu phải thanh toán chi phí này.

**CÂU HỎI:**
Gia đình tôi muốn lắp đặt internet nhưng cần đi qua đất nhà hàng xóm, họ yêu cầu bồi thường nếu không có sự đồng ý trước, tôi có cần bồi thường không?

**PHÂN TÍCH & HƯỚNG DẪN:**
Theo Điều 577 của Bộ Luật Dân sự 2015, nếu người"
syn_467_1768631320,"Nhà tôi đã xây từ lâu nhưng chưa lắp đặt hệ thống thoát nước mưa, liệu tôi có bị phạt không?",Điều 250 - Bộ luật Dân sự 2015,True,1.0,0.4295454545454545,"**Căn cứ pháp lý:**
--- [Tài liệu 1] ---
Văn bản: Bộ luật Dân sự 2015
Nội dung: Điều 250. Nghĩa vụ của chủ sở hữu trong việc thoát nước mưa Chủ sở hữu nhà, công trình xây dựng khác phải lắp đặt đường dẫn nước sao cho nước mưa từ mái nhà, công trình xây dựng của mình không được chảy xuống bất động sản của chủ sở hữu bất động sản liền kề.

**Nội dung quy định:**
Chủ sở hữu nhà, công trình xây dựng khác phải lắp đặt đường dẫn nước sao cho nước mưa từ mái nhà, công trình xây dựng của mình không được chảy xuống bất động sản của chủ sở hữu bất động sản liền kề.

**Phân tích & Hướng dẫn:**
Theo Điều 250 của Bộ Luật Dân sự 2015, chủ sở hữu nhà và công trình xây dựng cần đảm bảo rằng nước mưa từ mái nhà, công trình của mình không chảy xuống bất động sản của chủ sở hữu bất động sản liền kề. 

Điều này nghĩa là nếu bạn đã xây dựng nhà từ lâu nhưng chưa lắp đặt hệ thống thoát nước mưa, bạn sẽ vi phạm nghĩa vụ của mình theo quy định trên. Tuy nhiên, điều này không ngay lập tức dẫn đến việc bị phạt hành chính hoặc hình sự.

Thực tế, việc không lắp đặt hệ thống thoát nước mưa có thể dẫn đến việc nước mưa bắn ngược lên nhà bạn hoặc thậm chí gây ra các vấn đề về vệ sinh môi trường và an toàn cho cộng đồng. 

Nếu cơ quan chức năng phát hiện và xác định bạn vi phạm quy định này, họ có thể tiến hành kiểm tra và yêu cầu khắc phục. Nếu bạn không tuân thủ yêu cầu này, có thể dẫn đến việc bị xử phạt hành chính. 

Ngoài ra, nếu hệ thống thoát nước mưa không được lắp đặt đúng cách gây ra hậu quả nghiêm trọng như lũ lụt, ô nhiễm môi trường, hoặc ảnh hưởng đến sức khỏe cộng đồng, bạn có thể bị xử lý hình sự. 

Tuy nhiên, dựa trên thông tin cung cấp, hiện tại chưa có bằng chứng rõ ràng về việc bạn đã vi phạm nghiêm trọng đến mức phải chịu hình phạt hành chính hoặc hình sự. Bạn nên liên hệ với cơ quan chức năng địa phương để được tư vấn cụ thể hơn về tình huống của mình"
